English,Chinese
We would like to buy a sofa.,我们想买张沙发。
It's on the sofa.,它在沙發上。
The topic is worth discussing.,這是值得探討的話題。
Tell us the story from beginning to end.,請你把故事從頭到尾給我們說一遍。
The story was amusing.,故事很有趣。
I have heard the story.,我听说过那个故事。
The story is not in accord with the facts.,这个故事与事实不符。
The story was very interesting.,故事十分有趣。
The saddest part of the story remains to be told.,这则故事最悲情的部分尚未揭晓。
I'll be in trouble if the story gets out.,如果有人把事情抖出来，我就麻烦了。
I'll need at least three days to translate that thesis.,要翻译那篇论文，我最少需要三天时间。
Publication of the article was timed to coincide with the professor's birthday.,文章的发表被预定在教授生日那天。
The old woman fell and could not get up.,那个老太太摔倒了爬不起来。
The old lady climbed the stairs with difficulty.,这名老妇艰难地爬上楼梯。
The old woman knitted her brows.,老太太皺著眉頭。
The old couple embarked on a tour around the world.,老夫妇出发去环游世界了。
The old man is blind in one eye.,这名老人一只眼盲了。
The old man is blind in one eye.,这老人瞎了一只眼。
The old man is blind in one eye.,这个老人一只眼看不见了。
The old man contributed a large sum of money to the poor.,那位老者捐了一大筆錢去幫助窮人。
The old man looks sad.,老人看起來很傷心。
The old man lived by himself.,老人独自生活。
The old man walked across the road carefully.,老人小心翼翼地过了马路。
The old man sat down.,老人坐了下来。
The old man looked wise.,老人看起來明智。
The old man made out his will.,這位老先生立了他的遗嘱。
The old man died of cancer.,那位老爺爺死於癌症。
The old man attempted to swim five kilometers.,老人试图游5公里。
The old man bribed a young girl with money and jewelry.,老人用金錢和珠寶取得了少女的歡心。
The old man got in her way.,這個老人擋了她的路。
The train arrived on schedule.,火车准时到了。
The train arrived on time.,火车准时到了。
The train is running fast.,火車開的很快。
There is the train at 10 o'clock.,十點鐘有一班火車。
The train is traveling at the rate of 50 miles an hour.,火车以每小时50英里的速度前行。
The train makes 20 miles an hour.,这辆火车时速20英里。
The train makes 20 miles an hour.,这列火车时速20英里。
The train will pass Motomachi Station.,火車將經過元町站。
The train stops at every station.,火车每站都停。
The train is bound for London.,火车是开往伦敦的。
The train was so crowded that I had to stand all the way.,這班火車如此的擁擠以至於我整個車程都必須站著。
The train was so crowded that I had to stand all the way.,火車擁擠極了，我整趟車程都沒有位子坐。
The train has already left.,列车已经出发。
The train was ten minutes behind time.,火車晚點了十分鐘。
Please show me the green shirt.,請給我看看這件綠色的襯衫。
The trip will take at least a week.,这次旅行至少得花一星期时间。
The track meet was called off on account of the heavy rain.,田徑運動會因天雨關係取消了。
The barber gave him a haircut.,理髮師為他理了頭髮。
The next day Jesus decided to leave for Galilee.,第二天，耶穌決定要出發前往加利利。
Do not give in to those demands.,不要屈服於這些要求。
That dress matches her red hair.,那連衣裙很配她的紅髮。
The prediction was falsified by the result.,預言被實驗結果推翻了。
The medicine made me very sleepy.,這個藥讓我很想睡覺。
The medicine decreased his pain.,药物缓解了他的痛苦。
The medicine didn't do me any good.,這藥對我沒有任何好處。
The medicine worked marvels.,这药创造了奇迹。
I've never heard of the actor.,我还从没听说过这个演员。
I met her late in the evening.,我在深夜遇見了她。
It was cloudy that night.,那晚多雲。
A fire broke out during that night.,那天晚上發生了火災。
"While we were discussing the problem, I hit upon a good idea.",在我们讨论问题的过程中，我想到了一个好主意。
I'll reconsider the matter.,我會重新考慮此事。
I solved the problem easily.,我很容易地解決了這個問題。
It took me five minutes to solve the problem.,我用五分鐘就算好了那道題。
It took me five minutes to solve the problem.,我花了五分鐘解決問題。
Tell me how to solve the problem.,告訴我如何解決這個問題。
The problem remains unsolved.,這個問題仍然未解決。
That problem has been shelved for the time being.,這個問題暫時放在一邊。
The matter is of no importance.,这件事不重要。
The matter will be brought up at the next meeting.,這個問題留待下次開會才討論。
The problem was very difficult.,這個問題非常困難。
The matter is all settled.,這個問題已經完全解決了。
The problem is being discussed now.,这问题正在被讨论。
"So far as this matter is concerned, I am completely satisfied.",我對這件事感到十分滿意。
Let's discuss the problem with them.,让我们和他们讨论这个问题吧。
I have nothing to say with regard to that problem.,对于这个问题我无可奉告。
Please think about the problem.,請想想這個問題。
They are discussing the problem.,他們正在討論這個問題。
That aim is impossible to attain.,那個目標是無法達成的。
The tree was blown down.,樹被風吹倒了。
The tree cast a long shadow.,樹投下長長的影子。
The tree is about as high as the roof.,这棵树和屋顶差不多一样高。
The tree is green all year round.,這棵樹終年常綠。
The tree is green all year round.,这树全年常绿。
I cut a branch from the tree.,我從樹上砍下了一根樹枝。
The name rang a bell in me.,这名字听来耳熟。
No person by that name is listed in the register of the school.,学校的名册里没有这个名字的人。
Both girls have blue eyes.,兩個女孩都有一雙藍眼睛。
The dream has come true.,梦想成真。
The translation is quite true to the original.,翻译跟原文很贴切。
Did you read the whole book?,你有沒有看完整本書？
I got the book back from him.,我拿到了他還我的書。
Give me back the book after you have read it.,在你讀完後，把書還給我。
"When you're done with the book, put it back where you found it.",你一用完了这本书，就把它放回原来找到的地方。
"When you're done with the book, put it back where you found it.",你用完这本书，就把它放回原处啊。
You need a large vocabulary to read that book.,你讀那本書需要大量詞彙。
Please return the book when you have finished reading it.,请你在阅读完毕后归还此书。
"If you are done with that book, I'd like to have it.",如果你用完了那本书，我想借一下。
I've finished reading the book.,我看完了这本书。
Give the book to whomever wants it.,这本书谁想要就给谁吧。
Put the book back on the shelf.,把書放回書架上。
I remember returning the book to the library.,我记得我把书还到图书馆了。
Put the book back where it was.,把書放回它原來的地方。
Put the book where you found it.,把書放在你找到的地方。
Have you finished reading the book?,你讀完這本書了嗎？
Put the book back where you found it.,把書放回原來的地方。
Give me the book.,給我這本書。
Give me the book.,把书给我。
Please put the book on the shelf.,請把書放在架子上。
You'll find both of the books interesting.,你将认识到这两本书都很有意思
Did you find the book interesting?,你覺得這本書有趣嗎？
I found the book very interesting.,我覺得這本書非常有趣。
This book is easy to read.,這本書很容易讀。
This book is easy to read.,这本书很易读。
"Sorry, the book is out of stock.",不好意思，這本書已經賣完了。
I have read the book before.,我以前讀過這本書。
Where is the book?,那本书在哪儿？
I found the book interesting.,我觉得这本书很有意思。
Was the book interesting?,那本書有趣嗎？
Put the book on the top shelf.,把書放在最上面的架子上。
Put the book on the bottom shelf.,把這本書放在架子的底部。
The price of the book was $5.,这本书的价格是5美元。
The principal theme of the book is the American Revolution.,这本书的主题是美国革命。
You can omit the last chapter of the book.,你可以删去书里面的最后一章。
What is the title of the book?,这本书的名字是什么？
His comments about the book were favorable.,他給這本書正面的評價。
The pasture has an area of 10 acres.,牧场的面积有10英亩。
The cap is too small for me.,这顶帽子对我来说太小了。
That hat cost around fifty dollars.,那頂帽子花費了大約五十美元。
The law is still in effect.,这条法律依然有效。
The law is full of ambiguities.,法律有很多不明确的地方。
The report is not to be depended upon.,那篇報導不可靠。
The report is utterly false.,这份报告完全错误。
The whole place was simply blotted out with the snow.,整個地方完全地被雪遮蓋住了。
The cottage was clean and tidy.,小屋干净又整洁。
Tom will paint the fence tomorrow.,Tom明天將漆柵欄。
The wall is partly covered with ivy.,墙被常青藤覆盖了一部分。
The wall is thirty yards long.,這堵牆長三十碼。
Don't lean against the wall.,別倚著牆。
The fence will be painted by Tom tomorrow.,Tom明天將漆柵欄。
The soldier gave water to me.,士兵給了我水。
"The soldiers fought valiantly, but finally they had to give in.",士兵作戰時毫無畏縮，但到了最後還是不得不投降。
I can't get at the exact meaning of the sentence.,我抓不到句子的确切含义。
The meaning of this sentence is obscure.,这句句子意思模糊。
The surface of the object is fairly rough.,這件物件的表面頗為粗糙。
The substance is light enough to float on the water.,這種物質很輕，可以浮在水面上。
The story concluded abruptly.,这个故事仓促地结了尾。
The story approximates to historical truth.,故事与历史真相接近。
The prisoner was behind bars for two months.,那個囚犯在牢裡待了兩個月。
Members of that tribe settled along the river.,部落成员沿着河岸定居了。
Does the room have air conditioning?,房間有沒有空調？
The room was illuminated with red lights.,這個房間被紅色的燈照亮了。
The room is full of people.,屋里挤满了人。
My brother and I shared the room.,我哥哥和我共用這間房間。
My brother and I shared the room.,我哥哥和我以前共用這間房間。
Does the room have a bath?,房間裏有沒有浴缸？
"Entering the room, I found her playing the piano.",当我进入那个房间的时候，她正在弹钢琴。
There wasn't anyone in the room.,房間裡沒有人。
The room was empty except for a shabby bed.,房間除了一張破舊的床以外，就甚麼也沒有了。
There is a television in the room.,房里有个电视机。
"He and his wife tried to work out their problems, but couldn't.",他和他的妻子試圖解決他們的問題，但沒有辦法。
The couple spent a lot of money on furnishing their house.,那對夫婦花了很多錢來佈置他們的房子。
The couple have no less than seven children.,這對夫婦有七個子女之多。
The unhappy event made him put an end to himself.,那件不幸的事故使他自殺身亡。
The poor young man finally became a great artist.,这个可怜的年轻人最后成为了一个了不起的艺术家。
The poor young man finally became a great artist.,这个穷小子最后成为了一个了不起的艺术家。
I buy the goods at $3 a dozen.,我用三元一打的價錢買了這些東西。
The ice is too thin to bear your weight.,这冰太薄不能承受你的重量。
The ice was thick enough for me to walk on.,冰厚得足以让我在上面走路。
The plane flew over Mt. Fuji.,飛機飛過了富士山的上空。
The airplane landed at Narita Airport.,飛機在成田機場着陸。
The plane made a perfect landing.,這架飛機完美的著陸了。
The airplane took off ten minutes ago.,飞机十分钟之前就起飞了。
The airplane took off ten minutes ago.,飞机十分钟前起飞了。
There were fifty passengers on the plane.,飞机上有50名乘客。
The program is on the air.,那個節目現在正在播出。
I can't stand the noise.,我不能忍受這個噪音。
The criminal is still at large.,那個犯人還沒被抓到。
The board is about two meters long.,這塊木板大約兩公尺長。
That discovery was quite accidental.,那个发现纯属偶然。
That's too small a box to hold all these things.,那個箱子太小了，放不下這裏這麼多東西。
The box is too heavy to carry.,這個箱子太重了無法攜帶。
The box is almost empty.,盒子几乎是空的。
Is there anything in the box?,箱子裡有任何東西嗎?
Is there anything in the box?,盒子裡有任何東西嗎?
There are a lot of eggs in the box.,这个盒子里有很多蛋。
Don't put anything on top of the box.,不要放任何東西在箱子上面。
Don't put anything on top of the box.,盒子上面不要放任何東西。
The explosion may have been caused by a gas leak.,這場爆炸有可能是瓦斯外洩引起的。
What was the cause of the explosion?,爆炸的原因是什么？
What was the cause of the explosion?,爆炸是由甚麼導致的呢？
The museum is open from Monday to Friday.,博物馆周一到周五开门。
The horse stopped and wouldn't move.,這匹馬停下來不動了。
The horse stopped and wouldn't move.,馬停了下來，而且拒絕移動。
The horse broke its neck when it fell.,马倒下时脖子断了。
The old man got off the bus.,這位老人下了公車。
The cat was scared by an unfamiliar noise.,貓被沒聽過的噪音驚嚇到了。
The cat had a ribbon around its neck.,小貓的脖子上繫著一條絲帶。
The cat is very cute.,那隻貓很可愛。
Rocks are beautifully arranged in the Japanese-style garden.,石頭被美麗得放置在日式庭園裡。
That Japanese word has no equivalent in English.,那个日文词汇没有对应的英文。
That day shall come.,这天会到来。
We spent the day in the open air.,我們在戶外度過了一整天。
That's a bad day for me.,那天我不行。
The weather varies from day to day.,天氣每天都在變。
The meat is frozen.,肉冻住了。
The two brothers are quite unlike in their appearance.,哥哥和弟弟的樣子一點也不像。
The two young girls smiled happily.,兩個年輕的女孩高興地微笑了。
Those two ideas are quite distinct.,这完全是两个不同的观点。
Have you worked the puzzle out?,你解开谜团了吗？
The shy boy murmured his name.,羞怯的男孩呢喃地说出自己的名字。
The road is parallel to the river.,這條路與河流平行。
The road is too narrow for cars.,這條路對汽車來說太窄了。
The road is too narrow for cars.,這條路太窄汽車無法通行。
There are some strange animals in the zoo.,动物园里有很多奇怪的动物。
That animal feeds on flesh.,那种动物靠肉食为生。
The answer misses the point.,回答偏了。
There were no radios in Japan in those days.,日本那時候還沒有收音機。
A 6% yield is guaranteed on the investment.,這投資保證有 6% 的回報。
The island lies to the west of Japan.,这个岛屿位于日本的西边。
The island is a paradise for children.,这个岛是孩子们的天堂。
The islanders are asking us for help.,来自岛上的居民向我们求助。
The economy of the island is dependent on the fishing industry.,这个岛的经济依靠的是渔业。
The island abounds with rivers.,那島上有很多河。
The tower can be seen from here.,從這裏可以見到那座塔。
The scenery of the city reminded me of London.,这座城市的景色让我想起了伦敦。
The scenery of the city reminded me of London.,那座城市的景色让我回想起了伦敦。
"The Alpinists carried out the ascent, but they did not return safely.",登山者成功登上了山頂，但回程時卻出了意外。
Those trains run every three minutes.,這些火車每三分鐘發車。
"As I missed the train, I had to wait for the next one for about an hour.",由于错过了火车，我不得不等下一班等一小时。
Telephone him if the message is important.,如果这条消息很重要，那就打电话告诉他。
I can't go along with you on that point.,我不同意你這個觀點。
I differ from you on that point.,關於這一點，我的想法和你不同。
The store can supply us with anything we need.,这家商店可以提供所有我们需要的东西。
The shop was crowded with young people.,店裏擠滿了年輕人。
The store happened to be crowded yesterday.,昨天这家商店正好人满为患。
The store is closed Mondays.,商店周一关门。
The shop is open from Monday to Saturday.,这家店从星期一到星期六都营业。
The shop is just in front of the station.,那家店正对着车站。
The store closes at eleven.,商店十一點關門。
There's only one store on the island.,在這個島上只有一家商店。
The exhibition is now open.,展览现在已经开放。
The drowning man grasped at the rope.,那个溺水的男人抓紧了绳子。
Are you for or against the proposal?,你赞成还是反对这个建议？
The garden was surrounded by a wooden fence.,花园被木栅栏围了起来。
The garden was filled with flowers.,花園裡充滿了花朵。
There weren't any roses in the garden.,花園裡沒有任何玫瑰。
That street is very noisy.,那街道非常吵。
The street is paved with asphalt.,這條街鋪上了柏油。
There's a hotel across the street.,對街有一家旅館。
There are many stores on either side of the street.,街道两边有许多商店。
The bird was covered with white feathers.,鸟儿身上铺满了白色的羽毛。
The bird was half the size of a hawk.,那只鸟的体积有半只老鹰那么大。
Is the bird alive or dead?,那只鳥是死還是活的？
Keep it up!,坚持。
Keep it up.,坚持。
The investigation is under way.,相關調查正在進行中。
The results of the research were quite satisfactory.,調查的結果十分令人滿意。
How large is the audience?,你估計聽眾有多少?
The town developed into the center of the economy.,這座城鎮發展成為了一個經濟中心。
The city has a large population.,这个城市人口众多。
The town is two miles away from the coast.,那小鎮離岸邊有兩英里。
The city was destroyed by fire.,這個城市毀於火災。
Which is the best hotel in the town?,城裏最好的是哪間酒店？
The statue was carved from a block of cherry wood.,这座雕像是由樱木雕刻而成。
The parking lot is free of charge.,停车场是免费的。
The insect grew out of a pupa into an imago.,昆蟲破蛹而出變成成蟲。
The pond is 3 meters deep.,这个池塘有三米深。
There is little water in the pond.,這個池塘裡的水很少。
Swimming in the pond is dangerous.,在池塘游泳是危險的。
It seems the rural area will be developed on a large scale.,农村好像要大规模发展了。
The earthquake was the biggest one that we had ever experienced.,这是我们历来经历过最大的地震。
There was widespread panic after the earthquake.,地震後人們普遍覺得恐慌。
A fire broke out after the earthquake.,地震之後發生了火災。
Everyone around the area works hard.,这个地区的人工作很勤奋。
The news made her sad.,这个消息让她很伤心。
I was at my wit's end when I heard the news.,"當我聽到這個消息時, 我束手無策。"
I was surprised at the news.,我听到这个消息很吃惊。
"When I heard the news, I cried.",當我聽到這個消息，我哭了。
The news left me uneasy.,这个消息让我感到不安。
The news confirmed my suspicions.,这一消息证实了我的怀疑。
The price is reasonable.,價錢很合理。
The man got away from the city.,這名男子逃離了這個城市。
The man blushed.,他的臉紅了。
The man turned out to be a private detective.,这个男子竟然是一个私家侦探。
The man is wanted for murder.,這人因謀殺被通緝。
There's a possibility that the man was murdered.,他有可能是被謀殺的。
The man was held in police custody.,這個男人被警察拘留了。
The man kept talking for an hour.,這個男人連續說了一個小時的話。
The man sold his soul to the devil.,這人把靈魂賣給魔鬼。
The man blushed like a boy.,男人的臉像小孩般紅了起來。
The man wore a mask of a tiger.,男人戴了一个老虎面具。
The man finally confessed.,那个男人最终供认了他的罪行。
The man tried to install his own antenna.,这男人试着安装他自己的天线。
The man decided to wait at the station until his wife came.,男人覺定在火車站等到他妻子來。
Well do I remember the man's name.,这个男人的名字我记得很清楚。
The man died in a car accident.,这个男人死于车祸。
The boy got his hands dirty.,這個男孩把他的手弄髒了。
The boy has learned to read.,男孩學會了閱讀。
The boy is over there.,男孩子在那儿。
The boy is over there.,男孩子在那里。
The boy observed the birds all day.,男孩观察了一整天鸟。
The boy feared the dark.,这个男孩害怕黑夜。
The boy took the radio apart.,这个男孩把收音机折散架了。
The man and his wife helped each other.,这男人和他妻子互相帮助。
The organization furnished the refugees with food.,那个团体为难民们提供食品供给。
The organization is not connected with any political parties.,这个组织跟任何政党没有联系。
Look up the word in your dictionary.,在你的词典查一查这个词。
I'm not sure how to pronounce the word.,我不太确定这个单词的发音。
I'm not sure how to pronounce the word.,我不確定這個單詞該怎麼讀。
I am not sure how to pronounce the word.,我不太确定这个单词的发音。
I am not sure how to pronounce the word.,我不確定這個單詞該怎麼讀。
The word is not in my dictionary.,我的字典里没有这个词。
The word is not in my dictionary.,我的字典裏沒有這個字。
You have too many books on the shelf.,你書架上的書太多了。
"When the big earthquake occurred, I was just ten.",大地震發生的時候，我才十歲。
The university was founded by his father twenty years ago.,大学在20年前由他的父亲建立。
Who organized that meeting?,谁组织了这次会议？
Is it large enough?,這麼大的夠用嗎？
That fat girl consumes too much sugary food.,那个胖女孩吃了太多含高糖份的饮食。
There's narrow road to the village.,到村莊有條窄路。
It's only two miles to the village.,到村莊只有兩英里。
The only access to the village is from the river.,去那个村庄的唯一途径是过河。
This is the house where I used to live when I was young.,这是我年轻时候住的房子。
His son was expelled from school.,他的兒子被學校開除了。
I can't put up with the noise.,我無法忍受這噪音。
The noise is getting louder and louder.,噪音愈來愈大。
I wonder which of the runners will come first.,我在想哪个跑步运动员会跑第一。
The device is attached fast to the ceiling.,装置被牢牢地固定在天花板上。
The twins are indistinguishable from each other.,這對雙胞胎沒法區分。
What is the average height of the players?,选手们的平均身高是多少？
That athlete won three times in a row in this tournament.,那位選手在這次比賽中取得了三連勝。
The ship is about to set sail.,船快要開了。
That ship crossed the equator yesterday.,那条船昨天穿过了赤道。
The ship made slow progress against the strong wind.,這艘船逆風而行緩慢前進。
The ship is not equipped with radar.,这艘船没有雷达装备。
The ship was flying the American flag.,這艘船掛著美國國旗。
Many soldiers were wounded in the battle.,很多士兵在戰鬥中受了傷。
Many soldiers were wounded in the battle.,许多战士会战中挂彩了。
The war didn't break out by accident.,那場戰爭並不是偶然發生的。
"As a result of the war, many people died.",那場戰爭死了很多人。
Many people were killed in the war.,很多人在戰爭中被殺。
The warrior is conscious of both his strength and his weakness.,戰士知道自己的力量和弱點。
How long would it take to swim across the river?,游过这条河要多久？
There are plenty of fish in this river.,这条河里有很多鱼。
The teacher told us a funny story.,老師跟我們說了一個有趣的故事。
The teacher scolded his students severely.,老師把學生狠狠地罵了一頓。
The explanation is by no means satisfactory.,這個解釋不是很令人滿意。
The ticket holds good for three days.,這張票的有效期是三天。
The ticket holds good for three days.,这张票三日有效。
The ticket holds good for three days.,車票有效三天。
Please don't forget to put a stamp on the letter before mailing it.,请不要忘记寄信前要在上面贴邮票。
The baby fell asleep in the cradle.,宝宝在摇篮里入睡了。
It was not until the baby was fed that he stopped crying.,这个婴儿直到吃饱了才停下不哭。
The baby weighed seven pounds at birth.,婴儿出生时7磅重。
The baby was fast asleep.,婴儿睡得正香。
The babies are taken care of by volunteers.,婴儿被志愿者们照顾着。
The baby seemed to be sleeping a sound sleep.,那個嬰兒似乎在熟睡中。
The baby is playing with some toys.,這個小嬰兒正在玩一些玩具。
That responsibility is a burden to him.,那个责任对他是个负担。
That old tradition has disappeared.,那個古老的傳統已經不復存在了。
Once there lived an old man in a village.,曾经在一个村落里住着一位老人。
Both those students passed all the tests.,這兩個學生都通過了所有的測驗。
"That student runs fast, doesn't he?",那个学生跑得很快，不是吗？
The student became very nervous with the teacher watching him.,那個學生被老師盯著看，覺得渾身不自在。
All the students clapped their hands.,所有的學生都拍手。
The name of this statesman is known to everybody in Japan.,这位政治家的名字在日本人人皆知。
This policy resulted in a great rise in prices.,这个政策导致物价大幅度的上升。
Have you learned the number by heart?,你把數字記熟了嗎？
The swimming pool is used in common by all the children in the neighborhood.,游泳池由住在附近的孩子们共同使用。
The library has many books.,圖書館有很多書。
The popular singer committed suicide.,那个流行歌手自杀了。
The man passed by without so much as glancing at her.,那人連瞧也不瞧她一眼就走過了。
Did he look like a doctor?,他看起來像個醫生嗎？
What he said was over my head.,这人讲的我完全听不懂。
They are satisfied with the contract.,他们对合同很满意。
The man behind them is playing the piano.,在他們身後的男人正在彈鋼琴。
They are having a chat.,他們正在聊天。
The myth offers insights into the ancient civilization.,神話讓我們能透悉古文明。
"The decay of the shrine is due, in part, to acid rain.",廟宇的毀壞有一部分要歸因於酸雨。
I rejected the offer.,我拒绝了报价。
I accept the offer.,我接受了报价。
I had no choice but to accept the offer.,除了接受报价，我别无选择。
The offer is too good to turn down.,此提議好得令人難以拒絕。
The new car is hers.,這輛新車是她的。
The meal satisfied his hunger.,這頓飯讓他充饑解餓了。
The food tasted slightly of garlic.,這個食物嚐起來有一點大蒜味。
"We call that color ""midnight blue"".",我们叫那个颜色“午夜蓝”。
"Six people applied for the job, but none of them were employed.",六个人投了这份工作，但他们中没有一个被录用。
Pull the plant up by the roots.,從根部把植物拔出來。
I am sure the situation will take a turn for the better.,我肯定事情会往好的方向发展。
We will only consent on that condition.,我们只会在那样的条件下同意。
The information is very important to us.,这些信息对我们非常重要。
There were not many present.,參加的人並不多。
The castle is now in ruins.,城堡如今已经成了废墟。
When was the castle built?,這座城堡是甚麼時候建成的？
I didn't get the joke.,我没弄明白这个笑话。
I didn't get the joke.,我没明白那个笑话。
Don't sit on it.,不要坐在上面。
The prize won't be given to her.,奖项是不会授给她的。
The evidence was in his favor.,證據對他有利。
Lots of herons live in the marsh.,许多苍鹭在沼泽地中生活。
The boy said a wolf would come.,这个男孩说会来一条狼。
The boy made his parents happy.,這個男孩讓他的父母高興。
The boy is full of promise.,这个男孩很有前途。
The boy got in through the window.,這個男孩從窗戶進去了。
The boy is kind.,他是个好孩子。
The boy lost his way in the forest.,小男孩在森林中迷路了。
The boy was naked to the waist.,男孩赤裸着上身。
The boy rode a horse for the first time.,男孩第一次骑了马。
The boy could not so much as write his own name.,那男孩連自己的名字也不會寫。
That boy used to drop in on me.,那男孩儿来访过我家。
The boy doesn't know how to behave.,這個男孩不懂禮貌。
The boy went to bed with his socks on.,男孩穿着袜子就上床睡觉了。
The boy put on his athletic shoes and ran outside.,那个男孩穿上了他的运动鞋，跑向外面。
The boy has an apple in his pocket.,这男孩的口袋里有个苹果。
The boy gave up his seat to the old man on the bus.,男孩在巴士上把座位讓給了老人。
The boy made fun of the girl.,這個男孩取笑了這個女孩。
The boy made fun of the girl.,男孩儿取笑了女孩儿。
The boy has been absent from school for eight days.,那個男孩已經有八天沒上學了。
I wish I had treated the girl more kindly.,我真後悔以前沒有好好對她。
The girl is small for her age.,就她的年齡來說，這個女孩算是矮小的。
The girl was gazing at the doll.,女孩凝视着洋娃娃。
The girl had a long scarf around her neck.,女孩的脖子上圍著一條長長的圍巾。
The girl brushed past me.,女孩与我擦肩而过。
"The girl did not like to wash dishes, but she made the best of it.",女孩不太喜歡洗碗，但也盡力而為。
The girl's eyes were filled with tears.,女孩的眼睛充滿了淚水。
The little girl laughed a merry laugh.,小女孩高兴地笑了。
The girl did not say anything.,這個女孩什麼也沒說。
The young girl burst into tears.,這個年輕的女孩淚流滿面。
The girl tore the cloth.,那个女孩把布撕了。
The girl resembles her mother.,這個女孩酷似她的母親。
The girl was always following her mother.,女孩總是跟隨在母親背後。
The girl was always following her mother.,那女孩不管到哪兒都跟著母親。
"This girl is always smiling, but she's not happy.",这个女孩总是微笑着，但她并不幸福。
The girl has no mother.,这个女孩没有母亲。
"Having met the girl before, I recognized her at once.",因为曾遇见过那个女孩，我马上就认出来了。
The fiction reduced girls to tears.,這本小說使無數女孩流下了眼淚。
The novel is centered on the Civil War.,這篇小說的中心點是南北戰爭。
The novel takes its title from the Bible.,這本小說的名字出自《聖經》。
The novel has been translated into many languages.,這本小說已被翻譯成多國語言。
That novel isn't for children.,那本小說不適合兒童。
Mr Robinson didn't write the novel.,罗宾森先生并没有写这小说。
The novel ends with the heroine's death.,小说以女主角的死告终。
Who is the author of the novel?,那本小說的作者是誰呢？
The victory was won at the cost of many lives.,勝利是用許多人的性命換來的。
"The lady looked sad, also tired.",这个女士看起来很悲伤，也很疲惫。
It was Tom that saved the girl.,是湯姆救了這個小女孩。
The girl resembled her mother.,這個女孩很像她的母親。
The girl wore a yellow ribbon in her hair.,那女孩的头发上绑了一根黄丝带。
The girl released the birds from the cage.,女孩把鳥兒從籠中放了出來。
The girl was afraid to jump down from the roof.,小女孩害怕从屋顶上跳下来。
"As for the papers, I have custody of them.",至于该文件，我在保管。
The incident was etched in his memory.,这件事他铭记于心。
The accident happened two years ago.,意外发生在两年前。
The assignment took me longer than I had expected.,我用了比我预期更长的时间来完成作业。
Put the gun on the table.,把槍放在桌子上。
The boat is to leave for England this evening.,这艘船会在傍晚出发去英国。
The prisoners fought one another like so many mad people.,囚犯們像瘋子一樣互相毆鬥。
The prisoner was released.,囚犯重獲自由。
Don't forget to post the letter.,別忘了寄信。
"I do not remember seeing the letter, but perhaps I read it.","我不記得我看過這封信, 但或許我讀過它。"
Who was the letter written to?,信是写给谁的？
"The letter is dated April 1, 1987.",这封信标注的日期是1987年4月1日。
What is the letter about?,信的内容是什么？
The young man saved the girl from a bunch of hoodlums.,该名青年将少女从流氓团伙中救了出来。
The young woman was carrying an infant in her arms.,那個年輕女人手抱著嬰兒。
The car is ready.,汽车准备好了。
The car is exceeding the speed limit.,这辆车超速了。
The car isn't worth repairing.,這車不值得修了。
The car is too expensive for me to buy.,那輛車子太貴了，我買不起。
The car broke down.,汽车发生故障了。
The car broke down.,車拋錨了。
The car pulled up in front of the bank.,这辆车停在银行前。
The car pulled up in front of the bank.,这辆车在银行前面停下来了。
That car is quite new.,那辆车十分新。
The back seat of the car will hold three passengers.,车后座可以坐三个人。
This photo takes me back to my childhood.,這張照片帶我回到我的童年時光。
Let me have a look at those photos.,让我看看那些照片。
The picture brought back a lot of memories.,照片使我憶起了很多往事。
Some of the photos have been taken at the risk of life.,有些相片是冒著生命危險拍的。
I found the field trip very educational.,我發現實地考察很有教育意義。
That experiment was a failure.,實驗失敗了。
The experiment confirmed his theory.,实验证明了他的理论。
The question was too difficult to answer.,这个问题很难回答。
The question was impossible for us to answer.,我们没办法回答这个问题。
It is difficult for me to answer the question.,这个问题对我来讲很难回答。
It is easy to answer the question.,这个问题很容易回答。
"The more difficult the questions are, the less likely I'll be able to answer them.",問題愈難，我懂得回答的機會就愈低。
Will you take part in the ceremony?,你會參加這個儀式嗎?
The deer is three times as heavy as Jane.,鹿是简的三倍重。
The dictionary comes in two volumes.,那本词典分为两卷。
The dictionary is of great use to me.,这本字典对我很实用。
That bicycle is too small for you.,那輛腳踏車對你來說太小了。
She didn't dare to say anything at that time.,那時她甚麼也不敢說。
I was at home then.,那个时候，我在家。
The clock gains five minutes a day.,那个钟每天都快了五分钟。
Since that time we have not seen him.,從那個時候開始，我們就沒見過他了。
I didn't know what to do then.,那時我不知道該怎麼辦。
I was taking a shower then.,我當時在淋浴。
See you then.,到時候見。
It wasn't until then that I felt really frightened.,直到那時我才真正感到害怕。
Were you at school at that time?,那時你在學校嗎?
What were you doing then?,當時你在做什麼？
What were you doing then?,那会儿你干嘛呢？
We also went to the temple.,我们也去了庙里。
There is no denying the fact.,這是無可否認的事實。
No one can deny the fact.,誰也不能否定其事實。
Describe that accident in detail.,详细叙述一下这起事故吧。
The accident was brought about by his carelessness.,因為他不小心，所以才會發生意外。
The accident was due to his careless driving.,意外是因為他不小心駕駛而引起的。
The accident took place near his home.,意外是在他家附近發生的。
The accident arose from a simple mistake.,事故由一个简单的错误产生。
The accident seemed to have something to do with the heavy snow.,事故似乎和厚厚的积雪有关。
The accident occurred on Friday.,意外是在星期五發生的。
The accident was due to bad driving.,發生意外是因為司機的駕駛技術差。
